date,year,month,day,median_ndvi,landsat
25-02-2010,2010,2,25,0.134734511375427,Landsat4/5 (TM)
29-03-2010,2010,3,29,0.108950227499008,Landsat4/5 (TM)
14-04-2010,2010,4,14,0.109087824821472,Landsat4/5 (TM)
30-04-2010,2010,4,30,0.117782831192017,Landsat4/5 (TM)
16-05-2010,2010,5,16,0.109078615903854,Landsat4/5 (TM)
"01-06-2010",2010,6,1,0.117495723068714,Landsat4/5 (TM)
"04-08-2010",2010,8,4,0.367319315671921,Landsat4/5 (TM)
23-10-2010,2010,10,23,0.312467381358147,Landsat4/5 (TM)
26-12-2010,2010,12,26,0.149198904633522,Landsat4/5 (TM)
27-01-2011,2011,1,27,0.12572043389082,Landsat4/5 (TM)
12-02-2011,2011,2,12,0.119122259318829,Landsat4/5 (TM)
28-02-2011,2011,2,28,0.111143335700035,Landsat4/5 (TM)
"01-04-2011",2011,4,1,0.100305303931236,Landsat4/5 (TM)
17-04-2011,2011,4,17,0.10275848582387,Landsat4/5 (TM)
"01-02-2010",2010,2,1,0.157519817352295,Landsat7 (ETM+)
21-03-2010,2010,3,21,0.119706243276596,Landsat7 (ETM+)
"06-04-2010",2010,4,6,0.118741516023874,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.120834462344646,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.119609892368317,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.132694944739342,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.121020048856735,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.168874949216843,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.150687381625175,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.124888304620981,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.12272685021162,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.112337820231915,Landsat7 (ETM+)
12-06-2011,2011,6,12,0.137729465961456,Landsat7 (ETM+)
