date,year,month,day,median_ndvi,landsat
14-04-2010,2010,4,14,0.142539992928505,Landsat4/5 (TM)
30-04-2010,2010,4,30,0.156736478209496,Landsat4/5 (TM)
16-05-2010,2010,5,16,0.154057696461678,Landsat4/5 (TM)
"01-06-2010",2010,6,1,0.154536306858063,Landsat4/5 (TM)
"04-08-2010",2010,8,4,0.353319346904755,Landsat4/5 (TM)
"05-09-2010",2010,9,5,nan,Landsat4/5 (TM)
21-09-2010,2010,9,21,0.361333906650543,Landsat4/5 (TM)
23-10-2010,2010,10,23,0.339657440781593,Landsat4/5 (TM)
10-12-2010,2010,12,10,0.296577364206314,Landsat4/5 (TM)
26-12-2010,2010,12,26,0.269073277711868,Landsat4/5 (TM)
27-01-2011,2011,1,27,0.202905550599098,Landsat4/5 (TM)
12-02-2011,2011,2,12,0.191846132278442,Landsat4/5 (TM)
28-02-2011,2011,2,28,0.18512199819088,Landsat4/5 (TM)
"01-04-2011",2011,4,1,0.140438437461853,Landsat4/5 (TM)
17-04-2011,2011,4,17,0.161670297384262,Landsat4/5 (TM)
"06-04-2010",2010,4,6,0.163616366684437,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.166088342666626,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.164398923516273,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.168316081166267,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.162879608571529,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.295051634311676,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.280631333589554,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.217495426535606,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.217582248151302,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.18537288159132,Landsat7 (ETM+)
